comment_id,comment_message,tags,theme,objective
34,"I just started using the Freestyle Libre app on my new smartphone, previously used the meter since 2019. I use the app throughout the day every day. I also use the Hidrate app daily to monitor my water intake. I’ve used Hidrate since 2019, right after my kidney transplant. I’d previously been on hemodialysis for almost 10 yrs which required me to limit my water intake to less than 45oz/day; transitioning to 100oz+/day after the transplant was tougher than I imagined. Anyway, those are the only apps I use and both are terrific. I haven’t heard of the other apps mentioned (January, OnDuos, Levels).",Long-term App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
34,"I just started using the Freestyle Libre app on my new smartphone, previously used the meter since 2019. I use the app throughout the day every day. I also use the Hidrate app daily to monitor my water intake. I’ve used Hidrate since 2019, right after my kidney transplant. I’d previously been on hemodialysis for almost 10 yrs which required me to limit my water intake to less than 45oz/day; transitioning to 100oz+/day after the transplant was tougher than I imagined. Anyway, those are the only apps I use and both are terrific. I haven’t heard of the other apps mentioned (January, OnDuos, Levels).",Non-Usage of Available App,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
35,I like to use a food diary and Dexcom app to keep track of my health diabetes numbers and what I am eating. Dexcom is more useful than others. It gives accurate results.,Daily App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
36,"What smartphone apps do you use to help with the management of your diabetes? 


I use the Mysugr app 


How often do you use these apps? 


Everyday 


How long have you been using these apps? 


Since July 2019 


If you’re using multiple, which app(s) is the most useful? Why? 


N/A only MySugr, but I think it is really useful 


What type of app is missing that you would like to see for management of your diabetes? 


Can't really think of anything, I think Mysugr is really helpful 


Have you heard of any of the following smartphone apps: OnDuo, Levels, or January? 


No, sorry I haven't used these.",Daily App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
36,"What smartphone apps do you use to help with the management of your diabetes? 


I use the Mysugr app 


How often do you use these apps? 


Everyday 


How long have you been using these apps? 


Since July 2019 


If you’re using multiple, which app(s) is the most useful? Why? 


N/A only MySugr, but I think it is really useful 


What type of app is missing that you would like to see for management of your diabetes? 


Can't really think of anything, I think Mysugr is really helpful 


Have you heard of any of the following smartphone apps: OnDuo, Levels, or January? 


No, sorry I haven't used these.",Non-Usage of Available App,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
37,I currently use the MyFitnessPal app. I have been using this for about 1 year. I log in the foods that i consume throughout the day/ It holds me accountable for my dietary needs to control my blood sugar levels. I also use the Abbott Freestlyle app as well on my phone. I have been using that for almost 2 years,Daily App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
38,"I use the Fitbit and apple fitness apps to keep track of calories, carb intake to stay within rage of my daily intakes , I have been using these apps for about 3 years",Daily App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
39,"The smartphone apps I use to help with diabetes management are t:connect (Tandem pump) , My Fitness Pal and FitBit. I have been using these apps for a while, t:connect for about 6 months, MyFitnessPal 7 years and Fitbit for 5 years. I use t:connect for all my current blood glucose readings and my time in range data. I use My Fitness Pal to log all my foods so I make sure I'm not getting too loose on meals or snacks and Fitbit to make sure I'm getting my daily activity in, which helps me with better blood glucose control. 


I haven't heard of any of the new apps that are listed. I just stick to my current apps.",Daily App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
39,"The smartphone apps I use to help with diabetes management are t:connect (Tandem pump) , My Fitness Pal and FitBit. I have been using these apps for a while, t:connect for about 6 months, MyFitnessPal 7 years and Fitbit for 5 years. I use t:connect for all my current blood glucose readings and my time in range data. I use My Fitness Pal to log all my foods so I make sure I'm not getting too loose on meals or snacks and Fitbit to make sure I'm getting my daily activity in, which helps me with better blood glucose control. 


I haven't heard of any of the new apps that are listed. I just stick to my current apps.",Non-Usage of Available App,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
40,I have the app for my meter. I use it all the time because when I go into the doctors office they can download all this information or I can send it to them daily depending on what they prefer. I have been using this app since I bought the meter. I have been using this app for at least 2 years. I would like one that is personal. Just to my needs and keeps up with my counts to help me better manage my diabetes.,Long-term App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
40,I have the app for my meter. I use it all the time because when I go into the doctors office they can download all this information or I can send it to them daily depending on what they prefer. I have been using this app since I bought the meter. I have been using this app for at least 2 years. I would like one that is personal. Just to my needs and keeps up with my counts to help me better manage my diabetes.,Desire for Personalized App,Evaluating the specific needs and desires for features in diabetes management apps,To evaluate the usefulness of these apps from the perspective of the patients
40,I have the app for my meter. I use it all the time because when I go into the doctors office they can download all this information or I can send it to them daily depending on what they prefer. I have been using this app since I bought the meter. I have been using this app for at least 2 years. I would like one that is personal. Just to my needs and keeps up with my counts to help me better manage my diabetes.,Daily App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
41,"

I don't have any diabetes management apps on my phone.",Non-Usage of Available App,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
42,"

I use MySugr just about every day for a couple of years now I love lots of great pictures and it's simple to use although I would like more one-on-one connection features other than that it's pretty great and I am not using multiple apps just this one for now although that may change in the future 


It seems like I have heard of all three of these especially the Levels app from my healthcare provider but I haven't used them as of yet but I am thinking about adding one or two new apps to my collection just to see what might work better",Daily App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
42,"

I use MySugr just about every day for a couple of years now I love lots of great pictures and it's simple to use although I would like more one-on-one connection features other than that it's pretty great and I am not using multiple apps just this one for now although that may change in the future 


It seems like I have heard of all three of these especially the Levels app from my healthcare provider but I haven't used them as of yet but I am thinking about adding one or two new apps to my collection just to see what might work better",Single App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
42,"

I use MySugr just about every day for a couple of years now I love lots of great pictures and it's simple to use although I would like more one-on-one connection features other than that it's pretty great and I am not using multiple apps just this one for now although that may change in the future 


It seems like I have heard of all three of these especially the Levels app from my healthcare provider but I haven't used them as of yet but I am thinking about adding one or two new apps to my collection just to see what might work better",Awareness of Levels,Assessing patient awareness and satisfaction with specific diabetes management apps,"To gather user feedback on the named apps (OnDuo, Levels, January) – such as how they discovered them, what they like/dislike, and potential improvements"
43,"But the only diabetes app I use is diabetes connect because it's easy to use and from a trusted brand and I pretty much use it about every pay for about a year now, most helpful features of the access to expert information and the knowledge base of questions and answers from experts.. hard to think of a type of app that was missing I would like to see something more personalized and better access to live experts 


  


I only use the one diabetes app but I have heard of on Duo from information my doctor provides me but I have never used it although it's something I would consider",Daily App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
43,"But the only diabetes app I use is diabetes connect because it's easy to use and from a trusted brand and I pretty much use it about every pay for about a year now, most helpful features of the access to expert information and the knowledge base of questions and answers from experts.. hard to think of a type of app that was missing I would like to see something more personalized and better access to live experts 


  


I only use the one diabetes app but I have heard of on Duo from information my doctor provides me but I have never used it although it's something I would consider",Single App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
43,"But the only diabetes app I use is diabetes connect because it's easy to use and from a trusted brand and I pretty much use it about every pay for about a year now, most helpful features of the access to expert information and the knowledge base of questions and answers from experts.. hard to think of a type of app that was missing I would like to see something more personalized and better access to live experts 


  


I only use the one diabetes app but I have heard of on Duo from information my doctor provides me but I have never used it although it's something I would consider",Awareness of OnDuo,Assessing patient awareness and satisfaction with specific diabetes management apps,"To gather user feedback on the named apps (OnDuo, Levels, January) – such as how they discovered them, what they like/dislike, and potential improvements"
43,"But the only diabetes app I use is diabetes connect because it's easy to use and from a trusted brand and I pretty much use it about every pay for about a year now, most helpful features of the access to expert information and the knowledge base of questions and answers from experts.. hard to think of a type of app that was missing I would like to see something more personalized and better access to live experts 


  


I only use the one diabetes app but I have heard of on Duo from information my doctor provides me but I have never used it although it's something I would consider",Desire for Personalized App,Evaluating the specific needs and desires for features in diabetes management apps,To evaluate the usefulness of these apps from the perspective of the patients
44,"

Alas, I don't use any apps for this.",Non-Usage of Available App,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
45,I have been using On Track for many years. This week I recieved an email that it is being discontinued next month. Pretty much All I use it for is to enter my sugars in and print it off for my doctor. I have not heard of the apps mentioned but will probably look at them since I need a new one.,Long-term App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
46,"I have the Abbot Freestyle Libre app available on my iphone, but I never use it. My reader works better even if it is inconvenient to carry both. I have never heard of these 3 apps. If I did I completely dismissed them and forgot.",Non-Usage of Available App,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
47,"What smartphone apps do you use to help with the management of your diabetes? 


Dexcom, Clarity 


  


How often do you use these apps?  


2-3 times weekly 


  


  


How long have you been using these apps? 


  


1 year 


If you’re using multiple, which app(s) is the most useful? Why? 


  


Dexcom is the most useful. I can choose what device to view the info on 


  


  


What type of app is missing that you would like to see for management of your diabetes? 


  


Nothing 


Have you heard of any of the following smartphone apps: OnDuo, Levels, or January? If so: 


  


Never 


How did you hear about these apps? 


  


N/A 


If you’re using any of them, how long have you been using? 


  


N/A 


What do you find most helpful/what do you like most about these apps? 


  


N/A 


What improvements would you like to see, if any?",Weekly App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
47,"What smartphone apps do you use to help with the management of your diabetes? 


Dexcom, Clarity 


  


How often do you use these apps?  


2-3 times weekly 


  


  


How long have you been using these apps? 


  


1 year 


If you’re using multiple, which app(s) is the most useful? Why? 


  


Dexcom is the most useful. I can choose what device to view the info on 


  


  


What type of app is missing that you would like to see for management of your diabetes? 


  


Nothing 


Have you heard of any of the following smartphone apps: OnDuo, Levels, or January? If so: 


  


Never 


How did you hear about these apps? 


  


N/A 


If you’re using any of them, how long have you been using? 


  


N/A 


What do you find most helpful/what do you like most about these apps? 


  


N/A 


What improvements would you like to see, if any?",Multiple Device Integration,Exploring the diversity of app usage and integration preferences among diabetes patients,To identify the smartphone apps currently used by diabetes patients to manage their condition and establish frequency of usage
48,"What smartphone apps do you use to help with the management of your diabetes? 
— so far just the Abbott labs freestyle libre blood continuous blood glucose monitoring app that connects to the sensor 


How often do you use these apps? 
— multiple times daily 


How long have you been using these apps? - — Just started using 


If you’re using multiple, which app(s) is the most useful? Why?
— Not using any others  


What type of app is missing that you would like to see for management of your diabetes? 


— nothing I can think of 


Have you heard of any of the following smartphone apps: OnDuo, Levels, or January? 


— No, I haven’t heard of those, I may have to check them out",Daily App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
49,"I use the runkeeper app to keep tracking of exercising and my movement. I have been using it for about 5 years now and it is very handy to tell me the information about what I have been doing during the day. 


I like to use a food diary and dexcom app to keep track of my health diabetes numbers and what I am eating. I have been using them for a few years. 


They make it easy to talk with my doctor about my possible issues. 


I would like a diabetes app that keeps all health information in one app without having to use multiple apps.",Long-term App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
49,"I use the runkeeper app to keep tracking of exercising and my movement. I have been using it for about 5 years now and it is very handy to tell me the information about what I have been doing during the day. 


I like to use a food diary and dexcom app to keep track of my health diabetes numbers and what I am eating. I have been using them for a few years. 


They make it easy to talk with my doctor about my possible issues. 


I would like a diabetes app that keeps all health information in one app without having to use multiple apps.",Multiple Device Usage,Exploring the diversity of app usage and integration preferences among diabetes patients,To identify the smartphone apps currently used by diabetes patients to manage their condition and establish frequency of usage
49,"I use the runkeeper app to keep tracking of exercising and my movement. I have been using it for about 5 years now and it is very handy to tell me the information about what I have been doing during the day. 


I like to use a food diary and dexcom app to keep track of my health diabetes numbers and what I am eating. I have been using them for a few years. 


They make it easy to talk with my doctor about my possible issues. 


I would like a diabetes app that keeps all health information in one app without having to use multiple apps.",Desire for Personalized App,Evaluating the specific needs and desires for features in diabetes management apps,To evaluate the usefulness of these apps from the perspective of the patients
50,"

I use the Dexcom app to monitor my blood sugar readings, I can also record my carbs eaten and exercise time.",Daily App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
51,"

I am not the one to use fitness apps on my phone except for google fit but mostly I use my fitbit. No real apps in the picture",Fitbit App Usage,Exploring the diversity of app usage and integration preferences among diabetes patients,To identify the smartphone apps currently used by diabetes patients to manage their condition and establish frequency of usage
52,I often use My Fitness Pal,Non-Diabetes App Usage,Identifying usage patterns and potential gaps in the diabetes app market,To uncover any gaps in the current apps market that could be filled for better diabetes management
53,"

I do not use any smartphone apps. They might be good for some people but I have no problem managing things without them. I also have neard of te apps mentioned. I am sure this is because I dont bother using one. 


 ",Non-Usage of Available App,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
54,"I use my fitness pal, apple watch, Dexcom.  


I use these apps daily and several times.  


I am using these apps for 4 years or more.  


Dexcom is more useful than others. It gives accurate results.  


No, I didn't hear about those apps.",Daily App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
54,"I use my fitness pal, apple watch, Dexcom.  


I use these apps daily and several times.  


I am using these apps for 4 years or more.  


Dexcom is more useful than others. It gives accurate results.  


No, I didn't hear about those apps.",Long-term App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
54,"I use my fitness pal, apple watch, Dexcom.  


I use these apps daily and several times.  


I am using these apps for 4 years or more.  


Dexcom is more useful than others. It gives accurate results.  


No, I didn't hear about those apps.",Desire for Glucose Monitoring App,Evaluating the specific needs and desires for features in diabetes management apps,To evaluate the usefulness of these apps from the perspective of the patients
55,"

-- We use MyNetDiary for about two years now because we can link it with our Fitbit 


-- It has most of the features we need like logs and diary for our blood sugar levels 


-- We heard about it from people that we trust at work and friends we have in common 


-- We would like more links with educational and food management training options",Multiple Device Integration,Exploring the diversity of app usage and integration preferences among diabetes patients,To identify the smartphone apps currently used by diabetes patients to manage their condition and establish frequency of usage
55,"

-- We use MyNetDiary for about two years now because we can link it with our Fitbit 


-- It has most of the features we need like logs and diary for our blood sugar levels 


-- We heard about it from people that we trust at work and friends we have in common 


-- We would like more links with educational and food management training options",Interest in Using Apps,Evaluating the specific needs and desires for features in diabetes management apps,To evaluate the usefulness of these apps from the perspective of the patients
56,"What smartphone apps do you use to help with the management of your diabetes? 


I don't use any 


How often do you use these apps? 


I don't use these apps 


How long have you been using these apps? 


Never use apps 


If you’re using multiple, which app(s) is the most useful? Why? 


Don't use any apps 


What type of app is missing that you would like to see for management of your diabetes? 


At this time not sure I don't use apps 


Have you heard of any of the following smartphone apps: OnDuo, Levels, or January?If so: 


No 


How did you hear about these apps? 


Have not heard of these apps 


If you’re using any of them, how long have you been using? 


Do not use 


What do you find most helpful/what do you like most about these apps?'' 


Nothing at this time I do not use these apps 


What improvements would you like to see, if any? 


Not sure I don't use these apps",Non-Usage of Available App,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
57,"What smartphone apps do you use to help with the management of your diabetes: 


The only app i use is Abbott freestyle Liber . 


How often do you use these apps? I use about 8 times a day and track how my levels are going threw out the day. 


How long have you been using these apps?I've been using it for around 1 1/2 to 2 years now. 


If you’re using multiple, which app(s) is the most useful? Why? I'm only using the one for now. I have never heard of the other apps you have listed but I will be looking into them. 


What type of app is missing that you would like to see for management of your diabetes? Well I'm sure theirs one out there that i just have not looked into, But i would like to see one that gives me better guidance on how much insulin i should take for my current blood sugar levels. 


  


Have you heard of any of the following smartphone apps: OnDuo, Levels, or January? I have not heard of any of these apps. I will be googling them right after this survey. 


  


If so: 


How did you hear about these apps? 


If you’re using any of them, how long have you been using? 


What do you find most helpful/what do you like most about these apps? 


What improvements would you like to see, if any? Since I don't use any others for now I'll skip this because i have no way of giving a good answer.",Single App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
57,"What smartphone apps do you use to help with the management of your diabetes: 


The only app i use is Abbott freestyle Liber . 


How often do you use these apps? I use about 8 times a day and track how my levels are going threw out the day. 


How long have you been using these apps?I've been using it for around 1 1/2 to 2 years now. 


If you’re using multiple, which app(s) is the most useful? Why? I'm only using the one for now. I have never heard of the other apps you have listed but I will be looking into them. 


What type of app is missing that you would like to see for management of your diabetes? Well I'm sure theirs one out there that i just have not looked into, But i would like to see one that gives me better guidance on how much insulin i should take for my current blood sugar levels. 


  


Have you heard of any of the following smartphone apps: OnDuo, Levels, or January? I have not heard of any of these apps. I will be googling them right after this survey. 


  


If so: 


How did you hear about these apps? 


If you’re using any of them, how long have you been using? 


What do you find most helpful/what do you like most about these apps? 


What improvements would you like to see, if any? Since I don't use any others for now I'll skip this because i have no way of giving a good answer.",Daily App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
58,"

What smartphone apps do you use to help with the management of your diabetes? I do not use any for Diabetes 


How often do you use these apps? never 


How long have you been using these apps? i don't 


If you’re using multiple, which app(s) is the most useful? Why? I do not use any apps, mostly because I do not use my phone 


What type of app is missing that you would like to see for management of your diabetes? something that would give me stats on food sold at fast food places 


Have you heard of any of the following smartphone apps: OnDuo, Levels, or January?If so: no I have not 


How did you hear about these apps?i have not 


If you’re using any of them, how long have you been using?I have not 


What do you find most helpful/what do you like most about these apps?i think it wouild be helpful if I went out more or if i used my phone more 


What improvements would you like to see, if any? fast food tabulator and suggestons",Non-Usage of Available App,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
59,"I am using OneTouch Reveal App to work with OneTouch Verio Flex Blood Glucose Meter from LifeScan. 


The App is included with the Verio Flex Meter. 


I connected the OneTouch Reveal App with Apple Health App. 


I am using the above applications daily. I have been using them for 3 years. 


The OneTouch Reveal Application's Blood Sugar Tests, Steps and Activity are very useful in tracking my Glucose levels and Fitness Activities. 


The Diabetes Care Team receive the daily report and monitor my testing program, within target, above target and below target, etc. 


I wish the OneTouch Reveal Application includes Carbohydrate Calculator and recommends the insulin doses.",Daily App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
59,"I am using OneTouch Reveal App to work with OneTouch Verio Flex Blood Glucose Meter from LifeScan. 


The App is included with the Verio Flex Meter. 


I connected the OneTouch Reveal App with Apple Health App. 


I am using the above applications daily. I have been using them for 3 years. 


The OneTouch Reveal Application's Blood Sugar Tests, Steps and Activity are very useful in tracking my Glucose levels and Fitness Activities. 


The Diabetes Care Team receive the daily report and monitor my testing program, within target, above target and below target, etc. 


I wish the OneTouch Reveal Application includes Carbohydrate Calculator and recommends the insulin doses.",Long-term App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
60,"

I use now Abbott freestyle Liber and I also have a Dexcom device with an app. I use Liber daily several times.  


I am using this app since last year.  


Both Dexcom and freestyle liber are useful.  


I am satisfied with my recent app.  


Yes. I know about January. I have known from freestyle email.  


I am not using January now.  


I think January AI will be another good app for us.  


I am not sure about the improvement. ",Daily App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
60,"

I use now Abbott freestyle Liber and I also have a Dexcom device with an app. I use Liber daily several times.  


I am using this app since last year.  


Both Dexcom and freestyle liber are useful.  


I am satisfied with my recent app.  


Yes. I know about January. I have known from freestyle email.  


I am not using January now.  


I think January AI will be another good app for us.  


I am not sure about the improvement. ",Long-term App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
60,"

I use now Abbott freestyle Liber and I also have a Dexcom device with an app. I use Liber daily several times.  


I am using this app since last year.  


Both Dexcom and freestyle liber are useful.  


I am satisfied with my recent app.  


Yes. I know about January. I have known from freestyle email.  


I am not using January now.  


I think January AI will be another good app for us.  


I am not sure about the improvement. ",Satisfaction with Current Apps,Assessing patient awareness and satisfaction with specific diabetes management apps,"To gather user feedback on the named apps (OnDuo, Levels, January) – such as how they discovered them, what they like/dislike, and potential improvements"
60,"

I use now Abbott freestyle Liber and I also have a Dexcom device with an app. I use Liber daily several times.  


I am using this app since last year.  


Both Dexcom and freestyle liber are useful.  


I am satisfied with my recent app.  


Yes. I know about January. I have known from freestyle email.  


I am not using January now.  


I think January AI will be another good app for us.  


I am not sure about the improvement. ",Awareness of January,Assessing patient awareness and satisfaction with specific diabetes management apps,"To gather user feedback on the named apps (OnDuo, Levels, January) – such as how they discovered them, what they like/dislike, and potential improvements"
60,"

I use now Abbott freestyle Liber and I also have a Dexcom device with an app. I use Liber daily several times.  


I am using this app since last year.  


Both Dexcom and freestyle liber are useful.  


I am satisfied with my recent app.  


Yes. I know about January. I have known from freestyle email.  


I am not using January now.  


I think January AI will be another good app for us.  


I am not sure about the improvement. ",Non-Usage of Available App,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
61,So the only app that I use on my phone to monitor my diabetes is the dexcom G6 app. It is very helpful in me being able to see what my blood sugars are doing without having to do fingerprints it's a nice device to own and I at least know if I can eat or not eat depending on what my sugars are,Daily App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
61,So the only app that I use on my phone to monitor my diabetes is the dexcom G6 app. It is very helpful in me being able to see what my blood sugars are doing without having to do fingerprints it's a nice device to own and I at least know if I can eat or not eat depending on what my sugars are,Desire for Glucose Monitoring App,Evaluating the specific needs and desires for features in diabetes management apps,To evaluate the usefulness of these apps from the perspective of the patients
62,"I don't have any type of app on my phone that is about diabetes. The only thing i have is the step counter that was pre loaded on my phone. I do check it several times per day and sometimes I set a goal. 


I have been using this app for about 3 years now. I think that they give me a heads up that I have sat too long and need to get up and move.  


I am not sure what could be done to make it better. It is pretty easy to use as is.",Non-Diabetes App Usage,Identifying usage patterns and potential gaps in the diabetes app market,To uncover any gaps in the current apps market that could be filled for better diabetes management
62,"I don't have any type of app on my phone that is about diabetes. The only thing i have is the step counter that was pre loaded on my phone. I do check it several times per day and sometimes I set a goal. 


I have been using this app for about 3 years now. I think that they give me a heads up that I have sat too long and need to get up and move.  


I am not sure what could be done to make it better. It is pretty easy to use as is.",Long-term App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
65,"

I use the One Touch Reveal app. The Bluetooth connectivity and IOS app make it so much more functional to track my blood sugar as well as make notes within the application on carb count and exercise as well as insulin dosage. This meter has made life much easier and has also helped in identifying trends that may be developing with my glucose levels. The availability to generate reports to share with your physician truly make this meter such a great tool to provide carefree tracking of my diabetes control.",Daily App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
65,"

I use the One Touch Reveal app. The Bluetooth connectivity and IOS app make it so much more functional to track my blood sugar as well as make notes within the application on carb count and exercise as well as insulin dosage. This meter has made life much easier and has also helped in identifying trends that may be developing with my glucose levels. The availability to generate reports to share with your physician truly make this meter such a great tool to provide carefree tracking of my diabetes control.",Desire for Personalized App,Evaluating the specific needs and desires for features in diabetes management apps,To evaluate the usefulness of these apps from the perspective of the patients
66,"What smartphone apps do you use to help with the management of your diabetes? 


=> i am using two apps freestyle libre app and mysugr 


How often do you use these apps? 


=> i use these app almost daily 


How long have you been using these apps? 


=> i am using these apps almost one and half year (1.5 Year) 


If you’re using multiple, which app(s) is the most useful? Why? 


=> freestyle libre app is best for me.. there is CGM thats helps me 


What type of app is missing that you would like to see for management of your diabetes? 


=> i wish there should be more customization option for user.. and can give more health tips 


Have you heard of any of the following smartphone apps: OnDuo, Levels, or January?If so: 


=> i heard about leves only 


How did you hear about these apps? 


=> i see an adds of this levels apps 


If you’re using any of them, how long have you been using? 


=> no i am not using any of them 


What do you find most helpful/what do you like most about these apps? 


=> i am not using so no idea about that 


What improvements would you like to see, if any? 


=> i dont use them so i cant give any feedback",Daily App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
66,"What smartphone apps do you use to help with the management of your diabetes? 


=> i am using two apps freestyle libre app and mysugr 


How often do you use these apps? 


=> i use these app almost daily 


How long have you been using these apps? 


=> i am using these apps almost one and half year (1.5 Year) 


If you’re using multiple, which app(s) is the most useful? Why? 


=> freestyle libre app is best for me.. there is CGM thats helps me 


What type of app is missing that you would like to see for management of your diabetes? 


=> i wish there should be more customization option for user.. and can give more health tips 


Have you heard of any of the following smartphone apps: OnDuo, Levels, or January?If so: 


=> i heard about leves only 


How did you hear about these apps? 


=> i see an adds of this levels apps 


If you’re using any of them, how long have you been using? 


=> no i am not using any of them 


What do you find most helpful/what do you like most about these apps? 


=> i am not using so no idea about that 


What improvements would you like to see, if any? 


=> i dont use them so i cant give any feedback",Long-term App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
66,"What smartphone apps do you use to help with the management of your diabetes? 


=> i am using two apps freestyle libre app and mysugr 


How often do you use these apps? 


=> i use these app almost daily 


How long have you been using these apps? 


=> i am using these apps almost one and half year (1.5 Year) 


If you’re using multiple, which app(s) is the most useful? Why? 


=> freestyle libre app is best for me.. there is CGM thats helps me 


What type of app is missing that you would like to see for management of your diabetes? 


=> i wish there should be more customization option for user.. and can give more health tips 


Have you heard of any of the following smartphone apps: OnDuo, Levels, or January?If so: 


=> i heard about leves only 


How did you hear about these apps? 


=> i see an adds of this levels apps 


If you’re using any of them, how long have you been using? 


=> no i am not using any of them 


What do you find most helpful/what do you like most about these apps? 


=> i am not using so no idea about that 


What improvements would you like to see, if any? 


=> i dont use them so i cant give any feedback",Awareness of Levels,Assessing patient awareness and satisfaction with specific diabetes management apps,"To gather user feedback on the named apps (OnDuo, Levels, January) – such as how they discovered them, what they like/dislike, and potential improvements"
67,"What smartphone apps do you use to help with the management of your diabetes? 


I use MySugar app and T2D Healthline: Diabetes. 


How often do you use these apps? 


Almost like everyday. 


How long have you been using these apps? 


I used MySugar 3 years ago and still using, And using T2D Healthline for like 9 months. 


If you’re using multiple, which app(s) is the most useful? Why? 


T2D Healthline is better because of its Simple interface. 


What type of app is missing that you would like to see for management of your diabetes? 


I think a new app that combines meal planning, medication schedule and organizing daily exercise would be a good choice. 


Have you heard of any of the following smartphone apps: OnDuo, Levels, or January? 


Yes, I've heard of Levels. 


How did you hear about these apps? 


Some radio advertisements I think. 


If you’re using any of them, how long have you been using? 


No, I don't use any of them. 


What do you find most helpful/what do you like most about these apps? 


Levels app tracks my blood glucose in real time so I can maximize my diet and exercise. 


What improvements would you like to see, if any? 


Like I said before, app that combines meal planning, medication schedule and organizing daily exercise would be a good choice.",Daily App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
